Example program for rho-mu library.
Copyright (C) 2017-2022 Vincent A. Cicirello
This program comes with ABSOLUTELY NO WARRANTY.  This is free
software, and you are welcome to redistribute it under certain
conditions.  See the GNU General Public License for more
details: https://www.gnu.org/licenses/gpl-3.0.html

 Bound	       TLR	        RI	         t	       dof
    65	 0.0253125	 0.0115625	   13.3838	       196
    66	 0.0253125	 0.0117188	   13.3081	       195
    67	 0.0254688	 0.0114063	   13.6529	       196
    68	 0.0253125	 0.0115625	   13.3838	       196
    69	 0.0254688	 0.0115625	   13.5756	       196
    70	 0.0251563	 0.0115625	   12.8999	       193
    71	 0.0256250	 0.0114063	   13.8481	       196
    72	 0.0253125	 0.0115625	   13.3838	       196
    73	 0.0253125	 0.0117188	   13.3081	       195
    74	 0.0259375	 0.0110938	   14.4097	       197
    75	 0.0250000	 0.0118750	   12.8598	       194
    76	 0.0243750	 0.0126563	   11.7947	       187
    77	 0.0253125	 0.0115625	   13.3838	       196
    78	 0.0248438	 0.0120313	   12.6045	       193
    79	 0.0250000	 0.0118750	   12.8598	       194
    80	 0.0254688	 0.0115625	   13.5756	       196
    81	 0.0254688	 0.0114063	   13.6529	       196
    82	 0.0251563	 0.0117188	   13.1195	       195
    83	 0.0254688	 0.0114063	   13.6529	       196
    84	 0.0256250	 0.0114063	   13.8481	       196
    85	 0.0254688	 0.0115625	   13.5756	       196
    86	 0.0251563	 0.0117188	   13.1195	       195
    87	 0.0270313	 0.0109375	   16.0622	       197
    88	 0.0262500	 0.0110938	   14.4925	       197
    89	 0.0253125	 0.0117188	   13.3081	       195
    90	 0.0257813	 0.0112500	   14.1261	       197
    91	 0.0251563	 0.0117188	   13.1195	       195
    92	 0.0256250	 0.0114063	   13.8481	       196
    93	 0.0254688	 0.0115625	   13.5756	       196
    94	 0.0253125	 0.0115625	   13.3838	       196
    95	 0.0253125	 0.0117188	   13.3081	       195
    96	 0.0254688	 0.0115625	   13.5756	       196
    97	 0.0248438	 0.0120313	   12.6045	       193
    98	 0.0256250	 0.0114063	   13.8481	       196
    99	 0.0253125	 0.0117188	   13.3081	       195
   100	 0.0253125	 0.0117188	   13.3081	       195
   101	 0.0251563	 0.0117188	   13.1195	       195
   102	 0.0254688	 0.0115625	   13.5756	       196
   103	 0.0253125	 0.0117188	   13.3081	       195
   104	 0.0254688	 0.0115625	   13.5756	       196
   105	 0.0254688	 0.0115625	   13.5756	       196
   106	 0.0254688	 0.0114063	   13.6529	       196
   107	 0.0251563	 0.0118750	   13.0454	       194
   108	 0.0253125	 0.0117188	   13.3081	       195
   109	 0.0254688	 0.0114063	   13.6529	       196
   110	 0.0253125	 0.0117188	   13.3081	       195
   111	 0.0253125	 0.0115625	   13.3838	       196
   112	 0.0256250	 0.0114063	   13.8481	       196
   113	 0.0251563	 0.0117188	   13.1195	       195
   114	 0.0254688	 0.0115625	   13.5756	       196
   115	 0.0256250	 0.0114063	   13.8481	       196
   116	 0.0250000	 0.0120313	   12.7872	       193
   117	 0.0254688	 0.0115625	   13.5756	       196
   118	 0.0251563	 0.0118750	   13.0454	       194
   119	 0.0253125	 0.0115625	   13.3838	       196
   120	 0.0251563	 0.0117188	   13.1195	       195
   121	 0.0254688	 0.0112500	   13.7330	       196
   122	 0.0253125	 0.0117188	   13.3081	       195
   123	 0.0251563	 0.0118750	   13.0454	       194
   124	 0.0253125	 0.0115625	   13.3838	       196
   125	 0.0254688	 0.0115625	   13.5756	       196
   126	 0.0254688	 0.0114063	   13.6529	       196
   127	 0.0253125	 0.0115625	   13.3838	       196
   128	 0.0082813	 0.0114063	   -2.9791	       195
   129	 0.0248438	 0.0118750	   12.6782	       194
   130	 0.0251563	 0.0115625	   13.1963	       195
   131	 0.0246875	 0.0120313	   12.4256	       193
   132	 0.0248438	 0.0118750	   12.6782	       194
   133	 0.0248438	 0.0118750	   12.6782	       194
   134	 0.0250000	 0.0117188	   12.9351	       195
   135	 0.0250000	 0.0115625	   13.0129	       195
   136	 0.0250000	 0.0117188	   12.9351	       195
   137	 0.0250000	 0.0117188	   12.9351	       195
   138	 0.0248438	 0.0118750	   12.6782	       194
   139	 0.0248438	 0.0123438	   12.4648	       191
   140	 0.0256250	 0.0118750	   12.7339	       193
   141	 0.0256250	 0.0110938	   14.0090	       197
   142	 0.0257813	 0.0115625	   13.9729	       196
   143	 0.0257813	 0.0117188	   13.9007	       196
   144	 0.0246875	 0.0120313	   12.4256	       193
   145	 0.0248438	 0.0120313	   12.6045	       193
   146	 0.0253125	 0.0117188	   13.0043	       193
   147	 0.0253125	 0.0118750	   13.2351	       194
   148	 0.0254688	 0.0112500	   13.7330	       196
   149	 0.0246875	 0.0118750	   12.5005	       193
   150	 0.0248438	 0.0118750	   12.6782	       194
   151	 0.0248438	 0.0117188	   12.4675	       192
   152	 0.0250000	 0.0117188	   12.9351	       195
   153	 0.0251563	 0.0114063	   13.2756	       196
   154	 0.0250000	 0.0117188	   12.9351	       195
   155	 0.0250000	 0.0117188	   12.9351	       195
   156	 0.0248438	 0.0117188	   12.7546	       194
   157	 0.0248438	 0.0117188	   12.7546	       194
   158	 0.0248438	 0.0118750	   12.6782	       194
   159	 0.0251563	 0.0115625	   13.1963	       195
   160	 0.0248438	 0.0117188	   12.7546	       194
   161	 0.0251563	 0.0115625	   13.1963	       195
   162	 0.0251563	 0.0115625	   13.1963	       195
   163	 0.0251563	 0.0115625	   13.1963	       195
   164	 0.0248438	 0.0118750	   12.6782	       194
   165	 0.0251563	 0.0115625	   13.1963	       195
   166	 0.0251563	 0.0118750	   12.7457	       196
   167	 0.0248438	 0.0118750	   12.6782	       194
   168	 0.0248438	 0.0118750	   12.6782	       194
   169	 0.0256250	 0.0112500	   13.9272	       197
   170	 0.0250000	 0.0117188	   12.9351	       195
   171	 0.0254688	 0.0112500	   13.7330	       196
   172	 0.0245313	 0.0120313	   12.2503	       192
   173	 0.0246875	 0.0120313	   12.4256	       193
   174	 0.0253125	 0.0114063	   13.4621	       196
   175	 0.0248438	 0.0117188	   12.7546	       194
   176	 0.0251563	 0.0115625	   13.1963	       195
   177	 0.0248438	 0.0118750	   12.6782	       194
   178	 0.0246875	 0.0118750	   12.5005	       193
   179	 0.0250000	 0.0117188	   12.9351	       195
   180	 0.0251563	 0.0115625	   13.1963	       195
   181	 0.0245313	 0.0120313	   12.2503	       192
   182	 0.0246875	 0.0120313	   12.4256	       193
   183	 0.0253125	 0.0114063	   13.4621	       196
   184	 0.0248438	 0.0118750	   12.6782	       194
   185	 0.0251563	 0.0115625	   13.1963	       195
   186	 0.0250000	 0.0117188	   12.9351	       195
   187	 0.0250000	 0.0117188	   12.9351	       195
   188	 0.0250000	 0.0117188	   12.9351	       195
   189	 0.0250000	 0.0117188	   12.9351	       195
   190	 0.0250000	 0.0117188	   12.9351	       195
   191	 0.0248438	 0.0117188	   12.7546	       194
   192	 0.0248438	 0.0118750	   12.6782	       194
   193	 0.0251563	 0.0115625	   13.1963	       195
   194	 0.0253125	 0.0115625	   13.3838	       196
   195	 0.0248438	 0.0117188	   12.7546	       194
   196	 0.0248438	 0.0118750	   12.6782	       194
   197	 0.0248438	 0.0118750	   12.6782	       194
   198	 0.0246875	 0.0120313	   12.4256	       193
   199	 0.0251563	 0.0115625	   13.1963	       195
   200	 0.0248438	 0.0118750	   12.6782	       194
   201	 0.0251563	 0.0115625	   13.1963	       195
   202	 0.0251563	 0.0115625	   13.1963	       195
   203	 0.0251563	 0.0115625	   13.1963	       195
   204	 0.0251563	 0.0115625	   13.1963	       195
   205	 0.0250000	 0.0117188	   12.9351	       195
   206	 0.0250000	 0.0117188	   12.9351	       195
   207	 0.0253125	 0.0114063	   13.4621	       196
   208	 0.0248438	 0.0118750	   12.6782	       194
   209	 0.0251563	 0.0115625	   13.1963	       195
   210	 0.0248438	 0.0117188	   12.7546	       194
   211	 0.0250000	 0.0117188	   12.9351	       195
   212	 0.0250000	 0.0117188	   12.9351	       195
   213	 0.0250000	 0.0117188	   12.9351	       195
   214	 0.0253125	 0.0114063	   13.4621	       196
   215	 0.0250000	 0.0117188	   12.9351	       195
   216	 0.0250000	 0.0117188	   12.9351	       195
   217	 0.0250000	 0.0115625	   13.0129	       195
   218	 0.0257813	 0.0110938	   14.2070	       197
   219	 0.0250000	 0.0115625	   12.7220	       193
   220	 0.0248438	 0.0118750	   12.6782	       194
   221	 0.0250000	 0.0117188	   12.9351	       195
   222	 0.0250000	 0.0117188	   12.9351	       195
   223	 0.0250000	 0.0118750	   12.8598	       194
   224	 0.0250000	 0.0117188	   12.9351	       195
   225	 0.0253125	 0.0114063	   13.4621	       196
   226	 0.0251563	 0.0115625	   13.1963	       195
   227	 0.0248438	 0.0118750	   12.6782	       194
   228	 0.0248438	 0.0117188	   12.7546	       194
   229	 0.0248438	 0.0118750	   12.3896	       191
   230	 0.0270313	 0.0106250	   14.5623	       193
   231	 0.0245313	 0.0118750	   12.0478	       191
   232	 0.0245313	 0.0117188	   11.8682	       189
   233	 0.0254688	 0.0107813	   13.9892	       197
   234	 0.0251563	 0.0112500	   13.0637	       195
   235	 0.0254688	 0.0110938	   13.8157	       197
   236	 0.0251563	 0.0115625	   13.1963	       195
   237	 0.0251563	 0.0115625	   13.1963	       195
   238	 0.0251563	 0.0115625	   13.1963	       195
   239	 0.0253125	 0.0114063	   13.4621	       196
   240	 0.0251563	 0.0115625	   13.1963	       195
   241	 0.0248438	 0.0120313	   12.6045	       193
   242	 0.0253125	 0.0114063	   13.4621	       196
   243	 0.0250000	 0.0117188	   12.9351	       195
   244	 0.0248438	 0.0117188	   12.7546	       194
   245	 0.0250000	 0.0117188	   12.9351	       195
   246	 0.0250000	 0.0118750	   12.8598	       194
   247	 0.0251563	 0.0115625	   13.1963	       195
   248	 0.0250000	 0.0117188	   12.9351	       195
   249	 0.0250000	 0.0115625	   12.7220	       193
   250	 0.0250000	 0.0118750	   12.8598	       194
   251	 0.0251563	 0.0115625	   13.1963	       195
   252	 0.0251563	 0.0115625	   13.1963	       195
   253	 0.0250000	 0.0117188	   12.9351	       195
   254	 0.0251563	 0.0115625	   13.1963	       195
   255	 0.0250000	 0.0117188	   12.9351	       195
   256	 0.0078125	 0.0118750	   -3.9341	       193
   257	 0.0246875	 0.0117188	   12.5779	       194
   258	 0.0245313	 0.0118750	   12.3264	       193
   259	 0.0259375	 0.0104688	   14.7580	       197
   260	 0.0260938	 0.0103125	   15.0562	       197
   261	 0.0260938	 0.0103125	   15.0562	       197
   262	 0.0259375	 0.0104688	   14.7580	       197
   263	 0.0260938	 0.0103125	   15.0562	       197
   264	 0.0260938	 0.0104688	   14.9626	       198
   265	 0.0259375	 0.0104688	   14.7580	       197
   266	 0.0259375	 0.0104688	   14.7580	       197
   267	 0.0257813	 0.0107813	   14.3771	       197
   268	 0.0231250	 0.0131250	   10.2762	       181
   269	 0.0260938	 0.0103125	   15.0562	       197
   270	 0.0260938	 0.0104688	   14.9626	       198
   271	 0.0259375	 0.0104688	   14.7580	       197
   272	 0.0215625	 0.0148438	    8.0411	       137
   273	 0.0253125	 0.0110938	   13.6268	       197
   274	 0.0260938	 0.0103125	   15.0562	       197
   275	 0.0260938	 0.0104688	   14.9626	       198
   276	 0.0259375	 0.0104688	   14.7580	       197
   277	 0.0260938	 0.0103125	   15.0562	       197
   278	 0.0260938	 0.0104688	   14.9626	       198
   279	 0.0259375	 0.0104688	   14.7580	       197
   280	 0.0259375	 0.0106250	   14.6667	       197
   281	 0.0240625	 0.0123438	   11.5937	       190
   282	 0.0248438	 0.0115625	   12.8334	       195
   283	 0.0259375	 0.0104688	   14.7580	       197
   284	 0.0260938	 0.0103125	   15.0562	       197
   285	 0.0259375	 0.0106250	   14.6667	       197
   286	 0.0237500	 0.0126563	   11.1213	       187
   287	 0.0229688	 0.0134375	    9.9848	       176
   288	 0.0254688	 0.0109375	   13.9011	       197
   289	 0.0257813	 0.0104688	   14.5584	       197
   290	 0.0260938	 0.0103125	   15.0562	       197
   291	 0.0260938	 0.0104688	   14.9626	       198
   292	 0.0237500	 0.0126563	   11.1213	       187
   293	 0.0217188	 0.0148438	    8.1949	       137
   294	 0.0256250	 0.0107813	   14.1809	       197
   295	 0.0248438	 0.0117188	   12.7546	       194
   296	 0.0221875	 0.0142188	    8.8943	       158
   297	 0.0257813	 0.0104688	   14.5584	       197
   298	 0.0248438	 0.0117188	   12.7546	       194
   299	 0.0214063	 0.0150000	    7.8292	       130
   300	 0.0240625	 0.0123438	   11.5937	       190
   301	 0.0260938	 0.0103125	   15.0562	       197
   302	 0.0254688	 0.0110938	   13.8157	       197
   303	 0.0239063	 0.0126563	   11.2849	       187
   304	 0.0240625	 0.0125000	   11.5214	       189
   305	 0.0259375	 0.0104688	   14.7580	       197
   306	 0.0235938	 0.0129688	   10.8203	       183
   307	 0.0256250	 0.0107813	   14.1809	       197
   308	 0.0242188	 0.0120313	   11.9103	       192
   309	 0.0253125	 0.0112500	   13.5432	       196
   310	 0.0243750	 0.0118750	   11.8818	       191
   311	 0.0234375	 0.0129688	   10.6598	       183
   312	 0.0260938	 0.0104688	   14.9626	       198
   313	 0.0220313	 0.0143750	    8.6799	       154
   314	 0.0260938	 0.0104688	   14.9626	       198
   315	 0.0259375	 0.0104688	   14.7580	       197
   316	 0.0260938	 0.0104688	   14.9626	       198
   317	 0.0251563	 0.0112500	   13.3576	       196
   318	 0.0259375	 0.0106250	   14.6667	       197
   319	 0.0240625	 0.0123438	   11.5937	       190
   320	 0.0254688	 0.0110938	   13.8157	       197
   321	 0.0232813	 0.0132813	   10.3657	       179
   322	 0.0225000	 0.0139063	    9.3264	       166
   323	 0.0259375	 0.0106250	   14.6667	       197
   324	 0.0240625	 0.0123438	   11.5937	       190
   325	 0.0260938	 0.0103125	   15.0562	       197
   326	 0.0260938	 0.0104688	   14.9626	       198
   327	 0.0245313	 0.0118750	   12.3264	       193
   328	 0.0239063	 0.0126563	   11.2849	       187
   329	 0.0248438	 0.0115625	   12.8334	       195
   330	 0.0260938	 0.0103125	   15.0562	       197
   331	 0.0260938	 0.0104688	   14.9626	       198
   332	 0.0259375	 0.0104688	   14.7580	       197
   333	 0.0242188	 0.0123438	   11.7610	       190
   334	 0.0253125	 0.0110938	   13.6268	       197
   335	 0.0260938	 0.0103125	   15.0562	       197
   336	 0.0253125	 0.0112500	   13.5432	       196
   337	 0.0260938	 0.0103125	   15.0562	       197
   338	 0.0235938	 0.0128125	   10.8893	       185
   339	 0.0226563	 0.0137500	    9.5443	       170
   340	 0.0256250	 0.0107813	   14.1809	       197
   341	 0.0259375	 0.0104688	   14.7580	       197
   342	 0.0242188	 0.0123438	   11.7610	       190
   343	 0.0245313	 0.0118750	   12.3264	       193
   344	 0.0260938	 0.0103125	   15.0562	       197
   345	 0.0260938	 0.0104688	   14.9626	       198
   346	 0.0245313	 0.0118750	   12.3264	       193
   347	 0.0229688	 0.0135938	    9.9196	       173
   348	 0.0259375	 0.0104688	   14.7580	       197
   349	 0.0254688	 0.0110938	   13.8157	       197
   350	 0.0242188	 0.0121875	   11.8345	       191
   351	 0.0254688	 0.0109375	   13.9011	       197
   352	 0.0215625	 0.0148438	    8.0411	       137
   353	 0.0260938	 0.0103125	   15.0562	       197
   354	 0.0260938	 0.0104688	   14.9626	       198
   355	 0.0235938	 0.0128125	   10.8893	       185
   356	 0.0254688	 0.0110938	   13.8157	       197
   357	 0.0259375	 0.0104688	   14.7580	       197
   358	 0.0254688	 0.0110938	   13.8157	       197
   359	 0.0220313	 0.0143750	    8.6799	       154
   360	 0.0242188	 0.0121875	   11.8345	       191
   361	 0.0257813	 0.0107813	   14.3771	       197
   362	 0.0259375	 0.0104688	   14.7580	       197
   363	 0.0257813	 0.0106250	   14.4664	       197
   364	 0.0259375	 0.0104688	   14.7580	       197
   365	 0.0259375	 0.0104688	   14.7580	       197
   366	 0.0260938	 0.0103125	   15.0562	       197
   367	 0.0256250	 0.0109375	   14.0936	       197
   368	 0.0260938	 0.0103125	   15.0562	       197
   369	 0.0234375	 0.0129688	   10.6598	       183
   370	 0.0221875	 0.0142188	    8.8943	       158
   371	 0.0260938	 0.0104688	   14.9626	       198
   372	 0.0257813	 0.0104688	   14.5584	       197
   373	 0.0243750	 0.0121875	   12.0039	       191
   374	 0.0243750	 0.0121875	   12.0039	       191
   375	 0.0229688	 0.0134375	    9.9848	       176
   376	 0.0251563	 0.0114063	   13.2756	       196
   377	 0.0259375	 0.0104688	   14.7580	       197
   378	 0.0260938	 0.0103125	   15.0562	       197
   379	 0.0250000	 0.0115625	   13.0129	       195
   380	 0.0253125	 0.0112500	   13.5432	       196
   381	 0.0243750	 0.0120313	   12.0786	       192
   382	 0.0260938	 0.0103125	   15.0562	       197
   383	 0.0251563	 0.0114063	   12.9806	       197
   384	 0.0254688	 0.0109375	   13.9011	       197
   385	 0.0259375	 0.0104688	   14.7580	       197
   386	 0.0254688	 0.0109375	   13.9011	       197
   387	 0.0257813	 0.0104688	   14.5584	       197
   388	 0.0254688	 0.0110938	   13.8157	       197
   389	 0.0243750	 0.0120313	   12.0786	       192
   390	 0.0234375	 0.0131250	   10.5918	       181
   391	 0.0259375	 0.0104688	   14.7580	       197
   392	 0.0260938	 0.0103125	   15.0562	       197
   393	 0.0260938	 0.0104688	   14.9626	       198
   394	 0.0223438	 0.0140625	    9.1097	       163
   395	 0.0251563	 0.0114063	   13.2756	       196
   396	 0.0243750	 0.0120313	   12.0786	       192
   397	 0.0256250	 0.0107813	   14.1809	       197
   398	 0.0259375	 0.0104688	   14.7580	       197
   399	 0.0243750	 0.0120313	   12.0786	       192
   400	 0.0237500	 0.0126563	   11.1213	       187
   401	 0.0260938	 0.0103125	   15.0562	       197
   402	 0.0242188	 0.0123438	   11.7610	       190
   403	 0.0259375	 0.0104688	   14.7580	       197
   404	 0.0256250	 0.0107813	   14.1809	       197
   405	 0.0246875	 0.0117188	   12.5779	       194
   406	 0.0217188	 0.0148438	    8.1949	       137
   407	 0.0245313	 0.0118750	   12.3264	       193
   408	 0.0260938	 0.0103125	   15.0562	       197
   409	 0.0260938	 0.0104688	   14.9626	       198
   410	 0.0248438	 0.0115625	   12.8334	       195
   411	 0.0257813	 0.0107813	   14.3771	       197
   412	 0.0259375	 0.0104688	   14.7580	       197
   413	 0.0239063	 0.0125000	   11.0882	       185
   414	 0.0248438	 0.0115625	   12.8334	       195
   415	 0.0257813	 0.0107813	   14.3771	       197
   416	 0.0245313	 0.0118750	   12.3264	       193
   417	 0.0254688	 0.0109375	   13.9011	       197
   418	 0.0257813	 0.0106250	   14.4664	       197
   419	 0.0256250	 0.0107813	   14.1809	       197
   420	 0.0259375	 0.0103125	   14.8522	       198
   421	 0.0260938	 0.0104688	   14.9626	       198
   422	 0.0259375	 0.0103125	   14.8522	       198
   423	 0.0237500	 0.0126563	   11.1213	       187
   424	 0.0231250	 0.0132813	   10.2077	       179
   425	 0.0237500	 0.0128125	   11.0512	       185
   426	 0.0259375	 0.0104688	   14.7580	       197
   427	 0.0259375	 0.0103125	   14.8522	       198
   428	 0.0260938	 0.0104688	   14.9626	       198
   429	 0.0257813	 0.0106250	   14.4664	       197
   430	 0.0260938	 0.0103125	   15.0562	       197
   431	 0.0260938	 0.0104688	   14.9626	       198
   432	 0.0245313	 0.0118750	   12.3264	       193
   433	 0.0259375	 0.0106250	   14.6667	       197
   434	 0.0259375	 0.0104688	   14.7580	       197
   435	 0.0251563	 0.0112500	   13.3576	       196
   436	 0.0235938	 0.0128125	   10.8893	       185
   437	 0.0234375	 0.0129688	   10.6598	       183
   438	 0.0246875	 0.0118750	   12.5005	       193
   439	 0.0259375	 0.0104688	   14.7580	       197
   440	 0.0234375	 0.0131250	   10.5918	       181
   441	 0.0228125	 0.0134375	    9.8304	       176
   442	 0.0251563	 0.0112500	   13.3576	       196
   443	 0.0260938	 0.0104688	   14.9626	       198
   444	 0.0250000	 0.0114063	   13.0932	       196
   445	 0.0257813	 0.0107813	   14.3771	       197
   446	 0.0243750	 0.0120313	   12.0786	       192
   447	 0.0260938	 0.0104688	   14.9626	       198
   448	 0.0259375	 0.0104688	   14.7580	       197
   449	 0.0250000	 0.0115625	   13.0129	       195
   450	 0.0259375	 0.0104688	   14.7580	       197
   451	 0.0260938	 0.0104688	   14.9626	       198
   452	 0.0251563	 0.0112500	   13.3576	       196
   453	 0.0221875	 0.0143750	    8.8333	       153
   454	 0.0220313	 0.0143750	    8.6799	       154
   455	 0.0260938	 0.0103125	   15.0562	       197
   456	 0.0260938	 0.0104688	   14.9626	       198
   457	 0.0260938	 0.0101563	   15.1526	       197
   458	 0.0259375	 0.0106250	   14.6667	       197
   459	 0.0240625	 0.0123438	   11.5937	       190
   460	 0.0260938	 0.0104688	   14.9626	       198
   461	 0.0257813	 0.0106250	   14.4664	       197
   462	 0.0257813	 0.0106250	   14.4664	       197
   463	 0.0259375	 0.0104688	   14.7580	       197
   464	 0.0225000	 0.0140625	    9.2637	       162
   465	 0.0242188	 0.0121875	   11.8345	       191
   466	 0.0260938	 0.0104688	   14.9626	       198
   467	 0.0234375	 0.0129688	   10.6598	       183
   468	 0.0250000	 0.0115625	   13.0129	       195
   469	 0.0259375	 0.0104688	   14.7580	       197
   470	 0.0251563	 0.0112500	   13.3576	       196
   471	 0.0214063	 0.0148438	    7.6221	       134
   472	 0.0232813	 0.0131250	   10.4327	       181
   473	 0.0260938	 0.0104688	   14.9626	       198
   474	 0.0259375	 0.0104688	   14.7580	       197
   475	 0.0215625	 0.0150000	    7.9835	       130
   476	 0.0251563	 0.0110938	   13.4421	       196
   477	 0.0256250	 0.0107813	   14.1809	       197
   478	 0.0260938	 0.0104688	   14.9626	       198
   479	 0.0228125	 0.0135938	    9.7637	       173
   480	 0.0234375	 0.0131250	   10.5918	       181
   481	 0.0259375	 0.0104688	   14.7580	       197
   482	 0.0256250	 0.0109375	   14.0936	       197
   483	 0.0251563	 0.0112500	   13.3576	       196
   484	 0.0260938	 0.0104688	   14.9626	       198
   485	 0.0228125	 0.0135938	    9.7637	       173
   486	 0.0257813	 0.0107813	   14.3771	       197
   487	 0.0226563	 0.0135938	    9.6102	       173
   488	 0.0226563	 0.0135938	    9.6102	       173
   489	 0.0259375	 0.0106250	   14.6667	       197
   490	 0.0259375	 0.0104688	   14.7580	       197
   491	 0.0260938	 0.0103125	   15.0562	       197
   492	 0.0234375	 0.0129688	   10.6598	       183
   493	 0.0260938	 0.0103125	   15.0562	       197
   494	 0.0260938	 0.0104688	   14.9626	       198
   495	 0.0257813	 0.0104688	   14.5584	       197
   496	 0.0257813	 0.0106250	   14.4664	       197
   497	 0.0232813	 0.0132813	   10.3657	       179
   498	 0.0217188	 0.0148438	    8.1949	       137
   499	 0.0259375	 0.0104688	   14.7580	       197
   500	 0.0260938	 0.0103125	   15.0562	       197
   501	 0.0226563	 0.0137500	    9.5443	       170
   502	 0.0215625	 0.0148438	    8.0411	       137
   503	 0.0237500	 0.0128125	   11.0512	       185
   504	 0.0259375	 0.0104688	   14.7580	       197
   505	 0.0260938	 0.0103125	   15.0562	       197
   506	 0.0228125	 0.0137500	    9.6994	       170
   507	 0.0232813	 0.0131250	   10.4327	       181
   508	 0.0260938	 0.0104688	   14.9626	       198
   509	 0.0259375	 0.0104688	   14.7580	       197
   510	 0.0240625	 0.0125000	   11.5214	       189
   511	 0.0232813	 0.0131250	   10.4327	       181
   512	 0.0079688	 0.0117188	   -3.6107	       194

SUMMARY RESULTS
 Bound	       TLR	        RI	         t	       dof
   LOW	 0.0252973	 0.0116574	  209.7569	     48797
  HIGH	 0.0249620	 0.0114871	  208.6792	     50436
  POW2	 0.0079063	 0.0118594	  -11.8304	      1960
   ALL	 0.0247906	 0.0115765	  283.5022	    100014

Interpreting Above Results:
1) Negative t value implies Java library's nextInt method was faster.
2) Positive t value implies rho-mu's enhanced nextInt method was faster.
3) Greater absolute value of t value implies more significant time difference.
4) You can use a table from any statistics book to map t value to p value,
   and the dof column in results provides the degrees of freedom for the test
   needed to do so.
5) LOW are the results for bounds that are less than 256 and not powers of 2.
6) HIGH are the results for bounds that are greater than 256 and not powers of 2.
7) POW2 are the results for bounds that are powers of 2.
