Example program for rho-mu library.
Copyright (C) 2017-2022 Vincent A. Cicirello
This program comes with ABSOLUTELY NO WARRANTY.  This is free
software, and you are welcome to redistribute it under certain
conditions.  See the GNU General Public License for more
details: https://www.gnu.org/licenses/gpl-3.0.html

 Bound	       TLR	    BIASED	         t	       dof
   435	 0.1198438	 0.0009375	  143.7377	       146
   436	 0.1195313	 0.0010938	  139.4279	       151
   437	 0.1196875	 0.0009375	  142.7028	       145
   438	 0.1193750	 0.0009375	  140.8307	       144
   439	 0.1196875	 0.0009375	  142.7028	       145
   440	 0.1198438	 0.0007813	  146.2917	       139
   441	 0.1196875	 0.0009375	  142.7028	       145
   442	 0.1198438	 0.0007813	  146.2917	       139
   443	 0.1196875	 0.0007813	  140.1475	       136
   444	 0.1201563	 0.0006250	  151.5376	       133
   445	 0.1196875	 0.0009375	  142.7028	       145
   446	 0.1200000	 0.0004688	  153.2479	       125
   447	 0.1196875	 0.0009375	  142.7028	       145
   448	 0.1198438	 0.0006250	  149.0299	       132
   449	 0.1203125	 0.0004688	  156.0713	       125
   450	 0.1195313	 0.0012500	  132.9209	       153
   451	 0.1195313	 0.0010938	  139.4279	       151
   452	 0.1195313	 0.0009375	  141.7349	       145
   453	 0.1192188	 0.0012500	  135.6462	       155
   454	 0.1195313	 0.0010938	  139.4279	       151
   455	 0.1200000	 0.0006250	  150.2419	       132
   456	 0.1198438	 0.0007813	  146.2917	       139
   457	 0.1195313	 0.0009375	  141.7349	       145
   458	 0.1198438	 0.0007813	  146.2917	       139
   459	 0.1198438	 0.0009375	  143.7377	       146
   460	 0.1200000	 0.0006250	  150.2419	       132
   461	 0.1196875	 0.0009375	  142.7028	       145
   462	 0.1200000	 0.0006250	  150.2419	       132
   463	 0.1198438	 0.0006250	  149.0299	       132
   464	 0.1193750	 0.0010938	  138.5590	       150
   465	 0.1196875	 0.0009375	  142.7028	       145
   466	 0.1195313	 0.0010938	  139.4279	       151
   467	 0.1195313	 0.0010938	  139.4279	       151
   468	 0.1201563	 0.0004688	  154.6120	       125
   469	 0.1192188	 0.0012500	  135.6462	       155
   470	 0.1195313	 0.0010938	  139.4279	       151
   471	 0.1196875	 0.0007813	  140.1475	       136
   472	 0.1195313	 0.0007813	  139.2259	       135
   473	 0.1201563	 0.0004688	  154.6120	       125
   474	 0.1198438	 0.0007813	  146.2917	       139
   475	 0.1195313	 0.0010938	  139.4279	       151
   476	 0.1195313	 0.0010938	  139.4279	       151
   477	 0.1201563	 0.0004688	  154.6120	       125
   478	 0.1193750	 0.0010938	  138.5590	       150
   479	 0.1196875	 0.0007813	  145.2104	       139
   480	 0.1196875	 0.0009375	  142.7028	       145
   481	 0.1198438	 0.0007813	  146.2917	       139
   482	 0.1196875	 0.0009375	  142.7028	       145
   483	 0.1195313	 0.0010938	  139.4279	       151
   484	 0.1196875	 0.0009375	  142.7028	       145
   485	 0.1195313	 0.0010938	  139.4279	       151
   486	 0.1190625	 0.0014063	  132.9660	       160
   487	 0.1195313	 0.0010938	  139.4279	       151
   488	 0.1195313	 0.0007813	  144.1999	       138
   489	 0.1196875	 0.0007813	  145.2104	       139
   490	 0.1195313	 0.0009375	  141.7349	       145
   491	 0.1196875	 0.0007813	  140.1475	       136
   492	 0.1200000	 0.0006250	  150.2419	       132
   493	 0.1198438	 0.0007813	  146.2917	       139
   494	 0.1195313	 0.0009375	  141.7349	       145
   495	 0.1196875	 0.0007813	  140.1475	       136
   496	 0.1195313	 0.0010938	  139.4279	       151
   497	 0.1195313	 0.0010938	  139.4279	       151
   498	 0.1195313	 0.0009375	  141.7349	       145
   499	 0.1195313	 0.0010938	  139.4279	       151
   500	 0.1200000	 0.0004688	  153.2479	       125
   501	 0.1201563	 0.0004688	  154.6120	       125
   502	 0.1196875	 0.0006250	  142.5715	       129
   503	 0.1195313	 0.0010938	  139.4279	       151
   504	 0.1218750	 0.0003125	  116.7531	       108
   505	 0.1200000	 0.0006250	  150.2419	       132
   506	 0.1201563	 0.0007813	  148.6819	       140
   507	 0.1196875	 0.0009375	  142.7028	       145
   508	 0.1193750	 0.0007813	  138.3643	       135
   509	 0.1198438	 0.0007813	  146.2917	       139
   510	 0.1196875	 0.0007813	  140.1475	       136
   511	 0.1204688	 0.0010938	  128.3091	       141
   512	 0.0393750	 0.0006250	   45.9804	       128

SUMMARY RESULTS
 Bound	       TLR	    BIASED	         t	       dof
   LOW	 0.1223741	 0.0009141	 2503.0543	     39749
  HIGH	 0.1196991	 0.0009026	 2275.3419	     36914
  POW2	 0.0348750	 0.0010000	   67.7135	      1436
   ALL	 0.1193329	 0.0009100	 1842.9244	     58781

Interpreting Above Results:
1) Negative t value implies Java library's nextInt method was faster.
2) Positive t value implies rho-mu's nextBiasedInt method was faster.
3) Greater absolute value of t value implies more significant time difference.
4) You can use a table from any statistics book to map t value to p value,
   and the dof column in results provides the degrees of freedom for the test
   needed to do so.
5) LOW are the results for bounds that are less than 256 and not powers of 2.
6) HIGH are the results for bounds that are greater than 256 and not powers of 2.
7) POW2 are the results for bounds that are powers of 2.
8) ALL are all of the results for all bounds tested.

For Low bounds, rho-mu's nextBiasedInt spends 99.25% LESS TIME THAN the Java API's built in nextInt.
For high bounds, rho-mu's nextBiasedInt spends 99.25% LESS TIME THAN the Java API's built in nextInt.
For powers-of-2 bounds, rho-mu's nextBiasedInt spends 97.13% LESS TIME THAN the Java API's built in nextInt.
Overall, rho-mu's nextBiasedInt spends 99.24% LESS TIME THAN the Java API's built in nextInt.
